asset_id,year,document_id,page_id,collection_page_number,document_page_number,owner_code,owner_label,owner_reported,portfolio_group,asset_name,asset_class,description,reported_value,value_min_usd,value_max_usd,value_has_open_upper_bound,income_types,other_income,reported_income,income_min_usd,income_max_usd,income_has_open_upper_bound,transaction_code,printed_page_label
asset:2016:000001,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,,Citibank checking,Cash & deposits,Cash or bank deposit,"$250,001-$500,000",250001,500000,False,"[""Interest""]",,,,,False,,3/116
asset:2016:000002,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,,Citibank savings,Cash & deposits,Cash or bank deposit,"$50,001-$100,000",50001,100000,False,"[""Interest""]",,,,,False,,3/116
asset:2016:000003,2016,2016-1,page:2016-1:0003,3,3,JT,Joint,JT,,Citibank checking,Cash & deposits,Cash or bank deposit,"$15,001-$50,000",15001,50000,False,"[""N/A""]",,,,,False,,3/116
asset:2016:000004,2016,2016-1,page:2016-1:0003,3,3,JT,Joint,JT,,Citibank savings,Cash & deposits,Cash or bank deposit,"$100,001-$250,000",100001,250000,False,"[""Interest""]",,,,,False,,3/116
asset:2016:000005,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,,Touchstone Sands Capital Inst Gr (CISGX),Other,Touchstone Sands Capital growth mutual fund investing in large growth stocks,"$15,001-$50,000",15001,50000,False,"[""Tax deferred""]",,,,,False,,3/116
asset:2016:000006,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,,Fidelity Cash Reserves (FDRXX),Cash & deposits,"Security identified on the form as Fidelity Cash Reserves, ticker FDRXX","$1,001-$15,000",1001,15000,False,"[""Tax deferred""]",,,,,False,,3/116
asset:2016:000007,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,Ritu Ahuja Rev. Trust:,"Condo, NY, NY",Other,Residential condominium unit located in New York City,"Spouse/DC Asset over $1,000,000",1000001,,True,"[""Rent""]",,,,,False,,3/116
asset:2016:000008,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,Ritu Ahuja 1994 Trust:,"Kayne Anderson Mezzanine Partners (QP), L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson Mezzanine Partners (qp), L.p.","$100,001-$250,000",100001,250000,False,"[""N/A""]",,,,,False,,3/116
asset:2016:000009,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,M&R Trust Partnership:,"Kayne Anderson MLP Fund, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson MLP Fund, L.p.","$500,001-$1,000,000",500001,1000000,False,"[""N/A""]",,,,,False,,3/116
asset:2016:000010,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,M&R Trust Partnership:,"Kayne Anderson Real Estate Partners II (QP), L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson Real Estate Partners II (qp), L.p.","$50,001-$100,000",50001,100000,False,"[""N/A""]",,,,,False,,3/116
asset:2016:000011,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,M&R Trust Partnership:,"Kayne Anderson Real Estate Partners III, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson Real Estate Partners Iii, L.p.","$250,001-$500,000",250001,500000,False,"[""Partnership""]",,,,,False,,3/116
asset:2016:000012,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,M&R Trust Partnership:,"Kayne Anderson Real Estate Partners IV, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson Real Estate Partners IV, L.p.","$100,001-$250,000",100001,250000,False,"[""Partnership""]",,,,,False,,3/116
asset:2016:000013,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,M&R Trust Partnership:,"Kayne Credit Opportunities Fund (QP), L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Credit Opportunities Fund (qp), L.p.","$100,001-$250,000",100001,250000,False,"[""Partnership""]",,,,,False,,3/116
asset:2016:000014,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,M&R Trust Partnership:,"Draper Fisher Jurvetson Growth Fund 2006, LP",Hedge funds & private funds,"Private fund / partnership interest — Draper Fisher Jurvetson Growth Fund 2006, LP","$250,001-$500,000",250001,500000,False,"[""N/A""]",,,,,False,,3/116
asset:2016:000015,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,M&R Trust Partnership:,JC Flowers II-B LP & related entities,Hedge funds & private funds,Private fund / partnership interest — JC Flowers Ii-b LP & Related Entities,"$100,001-$250,000",100001,250000,False,"[""N/A""]",,,,,False,,3/116
asset:2016:000016,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,M&R Trust Partnership:,Resilience Fund II LP,Hedge funds & private funds,Private fund / partnership interest — Resilience Fund II LP,"$15,001-$50,000",15001,50000,False,"[""N/A""]",,,,,False,,3/116
asset:2016:000017,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,M&R Trust Partnership:,Resilience Fund IV LP,Hedge funds & private funds,Private fund / partnership interest — Resilience Fund IV LP,"$100,001-$250,000",100001,250000,False,"[""N/A""]",,,,,False,,3/116
asset:2016:000018,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,"Oak Street Real Estate Capital ATCO, SMA, LP Location: Pewaukee, WI 53188",Hedge funds & private funds,"Real estate or club/property interest — Oak Street Real Estate Capital Atco, Sma, LP Location: Pewaukee, WI 53188",None,0,0,False,"[""Partnership""]",,,,,False,,3/116
asset:2016:000019,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,"MAI Wealth Income and Growth Fund, LP",Hedge funds & private funds,"Private fund / partnership interest — MAI Wealth Income and Growth Fund, LP","$500,001-$1,000,000",500001,1000000,False,"[""Partnership""]",,,,,False,,3/116
asset:2016:000020,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,"MAI Capital Income and Growth Fund II, LP",Hedge funds & private funds,"Private fund / partnership interest — MAI Capital Income and Growth Fund II, LP","$500,001-$1,000,000",500001,1000000,False,"[""Partnership""]",,,,,False,,3/116
asset:2016:000021,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,"MAI Capital Income and Growth Fund III, LP Location: Pewaukee, WI 53188",Hedge funds & private funds,"Real estate or club/property interest — MAI Capital Income and Growth Fund Iii, LP Location: Pewaukee, WI 53188","Spouse/DC Asset over $1,000,000",1000001,,True,"[""Partnership""]",,,,,False,,3/116
asset:2016:000022,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,"Park Center Plaza Holdings LP Plaza I, II, III Locations: Independence, OH 44131",Hedge funds & private funds,"Private fund / partnership interest — Park Center Plaza Holdings LP Plaza I, II, III Locations: Independence, OH 44131","$1,001-$15,000",1001,15000,False,"[""N/A""]",,,,,False,,3/116
asset:2016:000023,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,Note Receivable (Orchard Way/JB),Other,"Promissory note owed to the filer, identified only as Orchard Way/JB",None,0,0,False,"[""Interest""]",,,,,False,,3/116
asset:2016:000024,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,Orchard Way -LLC,Hedge funds & private funds,Private fund / partnership interest — Orchard Way -llc,None,0,0,False,"[""Gain""]",,,,,False,,3/116
asset:2016:000025,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,Commercial Property:,Other,Commercial real estate holding; details not given in the name,,,,False,"[""Rent (for all properties)""]",,,,,False,,3/116
asset:2016:000026,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,"Location: Springdale, OH",Other,"Real estate holding located in Springdale, Ohio; form gives location only","$100,001-$250,000",100001,250000,False,[],,,,,False,,3/116
asset:2016:000027,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,"Location: Harahan, LA 70123",Other,"Real estate holding located in Harahan, Louisiana; form gives location only","$50,001-$100,000",50001,100000,False,[],,,,,False,,3/116
asset:2016:000028,2016,2016-1,page:2016-1:0003,3,3,SP,Spouse,SP,ARECO LP:,"Location: Walton Hills, OH 44146",Other,"Real estate holding located in Walton Hills, Ohio; form gives location only","Spouse/DC Asset over $1,000,000",1000001,,True,[],,,,,False,,3/116
