document_id,year,title,filer,document_type,page_count,source_pdf_path
2016-1,2016,"2016 Financial Disclosure (Form B, new member)",Rep. Ro Khanna (CA-17),periodic_transaction_report,116,docs/src/2016-1.pdf
2017-10,2017,Periodic Transaction Report #9 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,3,docs/src/2017-10.pdf
2017-11,2017,Periodic Transaction Report #10 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,6,docs/src/2017-11.pdf
2017-12,2017,Periodic Transaction Report #11 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,7,docs/src/2017-12.pdf
2017-13,2017,Periodic Transaction Report #12 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,11,docs/src/2017-13.pdf
2017-14,2017,Periodic Transaction Report #13 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,4,docs/src/2017-14.pdf
2017-2,2017,Periodic Transaction Report #1 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,5,docs/src/2017-2.pdf
2017-3,2017,Periodic Transaction Report #2 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,8,docs/src/2017-3.pdf
2017-4,2017,Periodic Transaction Report #3 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,3,docs/src/2017-4.pdf
2017-5,2017,Periodic Transaction Report #4 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,5,docs/src/2017-5.pdf
2017-6,2017,Periodic Transaction Report #5 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,9,docs/src/2017-6.pdf
2017-7,2017,Periodic Transaction Report #6 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,5,docs/src/2017-7.pdf
2017-8,2017,Periodic Transaction Report #7 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,8,docs/src/2017-8.pdf
2017-9,2017,Periodic Transaction Report #8 (filed 2017),Rep. Ro Khanna (CA-17),periodic_transaction_report,8,docs/src/2017-9.pdf
2017-1,2017,2017 Annual Financial Disclosure (Form A),Rep. Ro Khanna (CA-17),annual_disclosure,149,docs/src/2017-1.pdf
2018-10,2018,Periodic Transaction Report #7 (filed 2018),Rep. Ro Khanna (CA-17),periodic_transaction_report,6,docs/src/2018-10.pdf
