transaction_id,year,document_id,page_id,collection_page_number,document_page_number,owner_code,owner_label,owner_reported,portfolio_group,asset_name,asset_class,description,transaction_type,capital_gain_over_200_usd,transaction_date_reported,transaction_date_iso,notification_date_reported,notification_date_iso,reported_amount,amount_min_usd,amount_max_usd,amount_has_open_upper_bound,printed_page_label
transaction:2017:000001,2017,2017-1,page:2017-1:0056,56,56,SP,Spouse,SP,Grandchildren's Trust (DC reporting not applicable last year),Touchstone Sands Capital Inst Gr (CISGX),Other,Touchstone Sands Capital growth mutual fund investing in large growth stocks,Sale,False,2/21/17,2017-02-21,,,"$15,001-$50,000",15001,50000,False,Page 56 of 149
transaction:2017:000002,2017,2017-1,page:2017-1:0056,56,56,SP,Spouse,SP,Grandchildren's Trust (DC reporting not applicable last year),Fidelity Cash Reserves (FDRXX),Cash & deposits,"Security identified on the form as Fidelity Cash Reserves, ticker FDRXX",Sale,False,2/21/17,2017-02-21,,,"$1,000-$15,000",1000,15000,False,Page 56 of 149
transaction:2017:000003,2017,2017-1,page:2017-1:0056,56,56,SP,Spouse,SP,Ritu Ahuja 1994 Trust & Ritu Ahuja 1995 Trust: M&R Trust Partnership:,"Kayne Anderson MLP Fund, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson MLP Fund, L.p.",Purchase,False,1/31/17,2017-01-31,,,"$1,000-$15,000",1000,15000,False,Page 56 of 149
transaction:2017:000004,2017,2017-1,page:2017-1:0056,56,56,SP,Spouse,SP,Ritu Ahuja 1994 Trust & Ritu Ahuja 1995 Trust: M&R Trust Partnership:,"Kayne Anderson MLP Fund, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson MLP Fund, L.p.",Purchase,False,2/28/17,2017-02-28,,,"$15,001-$50,000",15001,50000,False,Page 56 of 149
transaction:2017:000005,2017,2017-1,page:2017-1:0056,56,56,SP,Spouse,SP,Ritu Ahuja 1994 Trust & Ritu Ahuja 1995 Trust: M&R Trust Partnership:,"Kayne Anderson MLP Fund, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson MLP Fund, L.p.",Purchase,False,3/31/17,2017-03-31,,,"$100,001-$250,000",100001,250000,False,Page 56 of 149
transaction:2017:000006,2017,2017-1,page:2017-1:0056,56,56,SP,Spouse,SP,Ritu Ahuja 1994 Trust & Ritu Ahuja 1995 Trust: M&R Trust Partnership:,"Kayne Anderson MLP Fund, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson MLP Fund, L.p.",Purchase,False,4/30/17,2017-04-30,,,"$1,000-$15,000",1000,15000,False,Page 56 of 149
transaction:2017:000007,2017,2017-1,page:2017-1:0056,56,56,SP,Spouse,SP,Ritu Ahuja 1994 Trust & Ritu Ahuja 1995 Trust: M&R Trust Partnership:,"Kayne Anderson MLP Fund, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson MLP Fund, L.p.",Purchase,False,5/31/17,2017-05-31,,,"$50,001-$100,000",50001,100000,False,Page 56 of 149
transaction:2017:000008,2017,2017-1,page:2017-1:0056,56,56,SP,Spouse,SP,Ritu Ahuja 1994 Trust & Ritu Ahuja 1995 Trust: M&R Trust Partnership:,"Kayne Anderson MLP Fund, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson MLP Fund, L.p.",Purchase,False,6/30/17,2017-06-30,,,"$100,001-$250,000",100001,250000,False,Page 56 of 149
transaction:2017:000009,2017,2017-1,page:2017-1:0056,56,56,SP,Spouse,SP,Ritu Ahuja 1994 Trust & Ritu Ahuja 1995 Trust: M&R Trust Partnership:,"Kayne Anderson MLP Fund, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson MLP Fund, L.p.",Purchase,False,7/31/17,2017-07-31,,,"$15,001-$50,000",15001,50000,False,Page 56 of 149
transaction:2017:000010,2017,2017-1,page:2017-1:0056,56,56,SP,Spouse,SP,Ritu Ahuja 1994 Trust & Ritu Ahuja 1995 Trust: M&R Trust Partnership:,"Kayne Anderson MLP Fund, L.P.",Hedge funds & private funds,"Private fund / partnership interest — Kayne Anderson MLP Fund, L.p.",Purchase,False,8/31/17,2017-08-31,,,"$100,001-$250,000",100001,250000,False,Page 56 of 149
